status	category	repo	size	note
OK	eval	harveyai/harvey-labs	5.0G	
OK	eval	HazyResearch/legalbench	19M	
OK	eval	TheAtticusProject/cuad	36M	
OK	eval	TheAtticusProject/maud	65M	
OK	eval	TheAtticusProject/acord	6.1M	
OK	eval	RegNLP/ObliQADataset	67M	
OK	eval	minnesotanlp/LawFlow	1.4M	
OK	eval	olivialiu121/ContractEval	636K	
OK	eval	Exploration-Lab/CJPE	17M	
OK	eval	thunlp/jec-qa	432K	
OK	eval	lbox-kr/lbox-open	544K	
OK	eval	SgfdDttt/sara-ie	376K	
OK	eval	hoorangyee/LRAGE	43M	
OK	automation	CSlawyer1985/claude-for-legal-ZH	57M	present
OK	automation	lawve-ai/awesome-legal-skills	82M	
OK	automation	armanaydemir/openprobono	668K	
OK	automation	SuffolkLITLab/ALKiln	11M	
OK	automation	jhpyle/docassemble	118M	
OK	mcp	agentic-ops/legal-mcp	808K	present
OK	mcp	grafana/mcp-grafana	7.1M	
OK	mcp	modelcontextprotocol/servers	2.2M	
OK	service	freelawproject/courtlistener	80M	
OK	service	freelawproject/juriscraper	350M	
OK	service	freelawproject/eyecite	1.1M	
OK	service	LexPredict/lexpredict-lexnlp	57M	
OK	service	eugene-yang/tarexp	1.9M	
OK	service	shmsoft/FreeEed	567M	
OK	survey	maastrichtlawtech/awesome-legal-nlp	172K	
