have	stars	repo	description
-	1631	zubair-trabzada/ai-legal-claude	AI Legal Assistant skill for Claude Code. Contract review, risk analysis, NDA generation, 
-	1091	saidsurucu/yargi-mcp	MCP Server For Turkish Legal Databases
YES	988	freelawproject/courtlistener	A fully-searchable and accessible archive of court data including growing repositories of 
YES	973	harveyai/harvey-labs	A benchmark built to evaluate and improve agent capabilities for supporting legal work.
-	903	life4/deal	🤝 Design by contract for Python. Write bug-free code. Add a few decorators, get static ana
-	753	TanStack/pacer	Utilities for debouncing, throttling, rate limiting, and queueing. Non-async and Async.
YES	621	HazyResearch/legalbench	An open science effort to benchmark legal reasoning in foundation models
YES	618	freelawproject/juriscraper	An API to scrape American court websites for metadata.
-	445	open-compass/LawBench	Benchmarking Legal Knowledge of Large Language Models
-	405	evolsb/claude-legal-skill	AI-powered contract review skill with CUAD risk detection, market benchmarks, and lawyer-r
-	303	TwoSevenOneT/EDRChoker	A tool uses the QoS Policy (Pacer.sys) to throttle Endpoint Detection and Response (EDR) a
-	267	coastalcph/lex-glue	LexGLUE: A Benchmark Dataset for Legal Language Understanding in English
-	265	ilhamfp/pasal	Pasal.id - The first open, AI-native Indonesian legal platform. MCP server + REST API + we
-	226	darjeeling/awesome-mcp-korea	A curated list of MCP servers for the Korean market, including legal, commerce, public dat
-	176	pangloss/pacer	My original graph database DSL machine
-	170	lawchat-oss/mcp-taiwan-legal-db	台灣司法院判決 + 全國法規資料庫 MCP server · Query Taiwan legal data from any MCP AI agent
-	162	tomasonjo-labs/legal-tech-chat	Extract structured data from CUAD contracts using LangChain, build a knowledge graph, and 
YES	143	shmsoft/FreeEed	Open source eDiscovery
-	127	prinz-ai/prinzbench	prinzbench is a private benchmark that ranks LLMs based on their ability to conduct legal 
-	86	ayunis-core/ayunis-legal-mcp	An MCP server for German legal codes
-	80	FreeDiscovery/FreeDiscovery	Web Service for E-Discovery Analytics
-	73	zeweihan/aiworkdeck	AI-native IDE workspace for legal and document-heavy workflows: files, agents, plugins, WP
-	64	pa1nrui1/legal-skills	Chinese legal workflow skills for AI agents
-	63	Mahender22/legal-mcp	The first comprehensive US legal MCP server -- case law, citations, practice management, a
-	56	NEU-ZHA/legal-ai-skills	Open-source legal AI agent skills for PKULaw, citations, and DOCX workflows
-	53	jonashertner/opencaselaw	Open Swiss legal corpus + MCP server: 1M+ court decisions (1875–today), 21k laws, 10M-edge
-	38	theaifutureguy/AI-Chatbot-for-Lawyer	AI-powered chatbot designed specifically for legal professionals. It aims to streamline cl
-	35	betobetico/claude-para-abogados	Agentes legales de IA para derecho español — Adaptación de claude-for-legal de Anthropic a
-	33	yoda-digital/mcp-cerebra-legal-server	
-	31	ConsenSysDiligence/pythx	A Python library for the MythX smart contract security analysis platform 
-	23	vivy-yi/Greater-China-Legal	Greater China Legal Agent Skills — 大中华区法律智能体Skill体系，基于Anthropic claude-for-legal适配，支持中国大陆/
-	20	numikel/law-scrapper-mcp	A comprehensive Model Context Protocol (MCP) server for accessing and analyzing Polish leg
-	18	GBLS/docassemble-workinggroup	A repository to store knowledge/skill shares for Greater Boston Legal Services' document a
-	14	SebastianNagl/benger-platform	BenGER - Research-grade benchmarking for LLMs in the German legal domain
-	7	zahirnik/legal-agent	Legal Agent is an AI-powered package for legal research, document analysis, and grounded q
-	6	xkaluv/harvey	AI law firm skill for Claude Code — multi-agent legal analysis, contract review, complianc
-	5	nikuscs/lauyer	⚖️ Fast CLI for searching Portuguese court jurisprudence (DGSI) and legislation (Diário da
-	4	PaoloBonicco7/agentic-legal-rag-suite	Modular Agentic RAG for legal purposes: iterative retrieval loops (retrieve→self-evaluate→
-	3	Aritra003/pariksha-benchmark	Open benchmark for jurisdiction-aware legal AI agents — 5 banks, 25 questions, citation-ve
-	2	metaneutrons/german-legal-mcp	A Model Context Protocol server for German and EU legal research
